name,id,type,capacity,location,address,contact,services,cost,availability
Counseline,1,"hotline, internal",available,Factor-Inwentash Faculty of Social Work,"246 Bloor Street W, Toronto, Ontario","Phone: 4169786314, Website: N/A","Generalized Anxiety Disorder, Anxiety, Depression, Family Problems, School Issues",Free,"Monday: 24 Hours, Tuesday: , Wednesday: 9:00-16:00, Thursday, 9:00-16:00, Friday: , Saturday: 24 Hours, Sunday: 24 Hours"
The Art of Counselling,2,"Private, external",availalbe,2nd floor,"141 Roncesvalles Ave, Toronto ON, M6R 2L2","Phone: (647) 4985939, Email: shaun@theartofcounselling.com","Social work, psychotherapy, consultation, and CBT for post-Traumatic Stress Disorder (PTSD), Depression, Anxiety, including worry and panic attacks, Difficulty managing stress, Adjustment to medical conditions, such as chronic pain or cancer, Challenges with work-life balance, Relationship problems, Life transitions, grief, and sexuality counselling",$120-150 per hour,Contact for more details
408 Help Line,3,"hotline, external",available,N/A,N/A,Phone: (416) 4084357,Provides telephone support for individuals experiencing emotional stress who may require crisis intervention and suicide intervention services.,Free,"365 days a year, 24 hours a day"
Gerstein Crisis Centre,4,"community, external",available,Gerstein on Bloor,"1045 Bloor Street West, Toronto, Ontario, M6H 1M1","Phone: (416) 6042337, Website: http://gersteincentre.org/","Crisis intervention, suicide intervention, harm reduction",Free,
The Redpath Centre,5,"Private, external",available,"The Redpath Centre, 2nd floor","40 Holly Street, Suite 201, Toronto ON M4S 3C3","Phone: (416) 9204999, Email: admin.assistant@redpathcentre.ca","Coaching, counselling, therapy, psychological and diagnostic assessments, education, support, and therapy groups",$120-150 per hour,Contact for more details
Jo-Anne Beggs Psychotherapy,6,"Private, external",available,"Bloor at Bathurst, 4th floor","800 Bathurst St, Suite 402, Toronto ON M5R 3M8","Phone: (647) 6090236, Email: bjoannebeggs@gmail.com","Social work, trauma and abuse treatment, crisis management, grief and loss issues, DBT, EMDR, and psychotherapy","$140 per hour for individuals, $160 per hour for couples",Contact for more details
Denise Aarons Counselling,7,"Private, external",available,Suite 1600,"2300 Yonge Street, Toronto, ON","Phone: (416) 4909774, Website: counsellingandbeyond.com","Binge eating, Mood Regulation, Workplace stress/anxiety, Relationship ending, Life coaching",$100-120 per hour,Contact for more details
Good2Talk,8,"hotline, external",available,N/A,N/A,"1 866 925 5454, email: info@good2talk.ca","Post-secondary student mental health helpline, provides counselling and information and referrals for mental health, addictions, and well-being to post-secondary students in Ontario",Free,"365 days a year, 24 hours a day"
Centre for International Experience,9,"Counselling, Internal",available,Cumberland House,"33 St. George Street, Toronto, ON M5S 2E3","Phone: (416) 9782564, Email: cie.information@utoronto.ca","Social isolation, Difficulty adapting to life in Canada, Conflict with family or friends",Free,"Monday: 9:30-16:30, Tuesday: 9:30-16:30, Wednesday: 9:30-16:30, Thursday: 9:30-16:30, Friday: 9:00-16:30"
Peers are Here,10,"Peer support, internal",available,"Health & Wellness Centre in Koffler Student Services Centre, 2nd floor, University of Toronto","214 College St, Toronto ON M5T 2Z9","Ravi Gabble: (416) 9788044, ravinder.gabble@utoronto.ca; Juddy Vorderbrugge: 416 978 8037, judy.vorderbrugge@utoronto.ca",,Free,Contact for more details
